geoid,state,county,borough,tract,name,population,commuters,median_income,area_sqkm,pop_density,commuter_ratio,centroid_lat,centroid_lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon
360050391003,36,000,Unknown,039100,Block Group 3,0,0,0,0.032375,0.0,0.0,40.852118,-73.888585,40.85099700011755,-73.88993999959095,40.85323800004761,-73.88722999977107
360050391004,36,000,Unknown,039100,Block Group 4,0,0,0,0.036876,0.0,0.0,40.853625,-73.888029,40.852487999972276,-73.88960700040333,40.854761999719614,-73.88645099962127
360050391005,36,000,Unknown,039100,Block Group 5,0,0,0,0.024526,0.0,0.0,40.854631,-73.888799,40.85323800004761,-73.89003000000262,40.85602399970852,-73.88756799987985
360050391006,36,000,Unknown,039100,Block Group 6,0,0,0,0.020487,0.0,0.0,40.854798,-73.886796,40.85404100021689,-73.88823700042477,40.85555599975846,-73.88535500017743
36005039200,36,005,Bronx,039200,Census Tract 392; Bronx County; New York,1758,852,61458,0.0,0.0,0.4846,,,,,,
360050392001,36,000,Unknown,039200,Block Group 1,0,0,0,0.040746,0.0,0.0,40.883136,-73.865653,40.881783999664584,-73.86705300036155,40.884487999670405,-73.86425300012999
360050392002,36,000,Unknown,039200,Block Group 2,0,0,0,0.055331,0.0,0.0,40.883313,-73.864038,40.881434000117025,-73.86565999991846,40.88519299980822,-73.8624160001712
36005039300,36,005,Bronx,039300,Census Tract 393; Bronx County; New York,8678,2887,31107,0.0,0.0,0.3327,,,,,,
360050393001,36,000,Unknown,039300,Block Group 1,0,0,0,0.05926,0.0,0.0,40.855402,-73.882171,40.85334800008764,-73.88362799982349,40.85745500002968,-73.88071399978908
360050393002,36,000,Unknown,039300,Block Group 2,0,0,0,0.043052,0.0,0.0,40.850016,-73.884659,40.848273000326586,-73.88643599955266,40.85175899987265,-73.8828830000089
360050393003,36,000,Unknown,039300,Block Group 3,0,0,0,0.013705,0.0,0.0,40.85292,-73.882475,40.85218899994162,-73.88328100039217,40.85365000018506,-73.88166799984107
360050393004,36,000,Unknown,039300,Block Group 4,0,0,0,0.020661,0.0,0.0,40.852704,-73.883724,40.8514990001047,-73.88471499994482,40.85390900016878,-73.88273300022108
