geoid,name,county,tract,population,commuters,median_income
36061031703,Census Tract 317.03; New York County; New York,061,031703,6450,3669,250001
36061031704,Census Tract 317.04; New York County; New York,061,031704,10540,7424,233346
36061031900,Census Tract 319; New York County; New York,061,031900,0,0,0
36047000100,Census Tract 1; Kings County; New York,047,000100,4974,2731,165188
36047000200,Census Tract 2; Kings County; New York,047,000200,1170,618,78942
36047000301,Census Tract 3.01; Kings County; New York,047,000301,4057,2219,193158
36047000501,Census Tract 5.01; Kings County; New York,047,000501,4432,2271,140795
36047000502,Census Tract 5.02; Kings County; New York,047,000502,2774,1596,169313
36047000700,Census Tract 7; Kings County; New York,047,000700,4194,2402,180515
36047000900,Census Tract 9; Kings County; New York,047,000900,4846,3211,218500
36047001100,Census Tract 11; Kings County; New York,047,001100,1558,1155,166250
36047001300,Census Tract 13; Kings County; New York,047,001300,2190,1255,148542
36047001501,Census Tract 15.01; Kings County; New York,047,001501,5056,2941,94323
36047001502,Census Tract 15.02; Kings County; New York,047,001502,5330,3360,130471
36047001801,Census Tract 18.01; Kings County; New York,047,001801,1666,0,0
36047001802,Census Tract 18.02; Kings County; New York,047,001802,0,0,0
36047001803,Census Tract 18.03; Kings County; New York,047,001803,3,0,0
36047001804,Census Tract 18.04; Kings County; New York,047,001804,0,0,0
36047002000,Census Tract 20; Kings County; New York,047,002000,1899,786,77969
36047002100,Census Tract 21; Kings County; New York,047,002100,5938,3906,250001
36047002200,Census Tract 22; Kings County; New York,047,002200,4224,1681,40708
36047002300,Census Tract 23; Kings County; New York,047,002300,4025,996,21841
36047002901,Census Tract 29.01; Kings County; New York,047,002901,3974,966,22943
36047003000,Census Tract 30; Kings County; New York,047,003000,1738,783,122861
36047003101,Census Tract 31.01; Kings County; New York,047,003101,3598,2035,173466
36047003102,Census Tract 31.02; Kings County; New York,047,003102,0,0,0
36047003300,Census Tract 33; Kings County; New York,047,003300,4518,2891,125778
36047003400,Census Tract 34; Kings County; New York,047,003400,3566,1709,103971
36047003500,Census Tract 35; Kings County; New York,047,003500,2194,1461,142813
36047003600,Census Tract 36; Kings County; New York,047,003600,3792,1965,85183
36047003700,Census Tract 37; Kings County; New York,047,003700,4085,2740,169709
36047003800,Census Tract 38; Kings County; New York,047,003800,1514,705,142644
36047003900,Census Tract 39; Kings County; New York,047,003900,2523,1567,136307
36047004100,Census Tract 41; Kings County; New York,047,004100,3445,1932,214275
36047004300,Census Tract 43; Kings County; New York,047,004300,3880,2549,162500
36047004400,Census Tract 44; Kings County; New York,047,004400,2269,1048,135474
36047004500,Census Tract 45; Kings County; New York,047,004500,3450,2318,165714
36047004600,Census Tract 46; Kings County; New York,047,004600,1239,473,0
36047004700,Census Tract 47; Kings County; New York,047,004700,2016,1050,145417
36047004900,Census Tract 49; Kings County; New York,047,004900,2839,1342,160694
36047005000,Census Tract 50; Kings County; New York,047,005000,2409,1239,127431
36047005100,Census Tract 51; Kings County; New York,047,005100,2797,1631,167650
36047005201,Census Tract 52.01; Kings County; New York,047,005201,1680,694,22625
36047005202,Census Tract 52.02; Kings County; New York,047,005202,2960,1567,103673
36047005301,Census Tract 53.01; Kings County; New York,047,005301,2352,1418,166302
36047005302,Census Tract 53.02; Kings County; New York,047,005302,93,41,129659
36047005303,Census Tract 53.03; Kings County; New York,047,005303,0,0,0
36047005400,Census Tract 54; Kings County; New York,047,005400,3234,1880,79370
36047005601,Census Tract 56.01; Kings County; New York,047,005601,2683,1372,72788
36047005602,Census Tract 56.02; Kings County; New York,047,005602,1730,948,97750
36047005800,Census Tract 58; Kings County; New York,047,005800,3068,1477,73483
36047005900,Census Tract 59; Kings County; New York,047,005900,1261,777,103578
36047006000,Census Tract 60; Kings County; New York,047,006000,3281,1299,69583
36047006200,Census Tract 62; Kings County; New York,047,006200,2729,1199,74698
36047006300,Census Tract 63; Kings County; New York,047,006300,2129,1303,175813
36047006400,Census Tract 64; Kings County; New York,047,006400,3396,1549,82439
36047006500,Census Tract 65; Kings County; New York,047,006500,5723,3549,178041
36047006600,Census Tract 66; Kings County; New York,047,006600,4032,2127,90074
36047006700,Census Tract 67; Kings County; New York,047,006700,4036,2107,218393
36047006800,Census Tract 68; Kings County; New York,047,006800,4027,1658,63010
36047006901,Census Tract 69.01; Kings County; New York,047,006901,1842,1060,139384
36047006902,Census Tract 69.02; Kings County; New York,047,006902,2023,1298,250001
36047007000,Census Tract 70; Kings County; New York,047,007000,2595,1154,81755
36047007100,Census Tract 71; Kings County; New York,047,007100,4632,1727,55521
36047007200,Census Tract 72; Kings County; New York,047,007200,1789,917,63352
36047007400,Census Tract 74; Kings County; New York,047,007400,5634,2493,70508
36047007500,Census Tract 75; Kings County; New York,047,007500,4813,3055,150854
36047007600,Census Tract 76; Kings County; New York,047,007600,4882,2033,57147
36047007700,Census Tract 77; Kings County; New York,047,007700,5639,3236,199067
36047007800,Census Tract 78; Kings County; New York,047,007800,5715,2493,66029
36047008000,Census Tract 80; Kings County; New York,047,008000,3532,1667,75125
36047008200,Census Tract 82; Kings County; New York,047,008200,3748,1819,44013
36047008400,Census Tract 84; Kings County; New York,047,008400,3703,2106,97232
36047008500,Census Tract 85; Kings County; New York,047,008500,7417,2022,21988
36047008600,Census Tract 86; Kings County; New York,047,008600,0,0,0
36047008800,Census Tract 88; Kings County; New York,047,008800,2502,1313,64741
36047009001,Census Tract 90.01; Kings County; New York,047,009001,1319,676,44026
36047009002,Census Tract 90.02; Kings County; New York,047,009002,1405,535,49565
36047009201,Census Tract 92.01; Kings County; New York,047,009201,2030,937,76688
36047009202,Census Tract 92.02; Kings County; New York,047,009202,3572,1649,52775
36047009401,Census Tract 94.01; Kings County; New York,047,009401,2215,855,47104
36047009402,Census Tract 94.02; Kings County; New York,047,009402,3077,1411,71375
36047009600,Census Tract 96; Kings County; New York,047,009600,6041,3113,75134
36047009800,Census Tract 98; Kings County; New York,047,009800,6876,2855,59342
36047010000,Census Tract 100; Kings County; New York,047,010000,5585,2554,64107
36047010100,Census Tract 101; Kings County; New York,047,010100,4372,2455,118906
36047010200,Census Tract 102; Kings County; New York,047,010200,5181,2190,61643
36047010401,Census Tract 104.01; Kings County; New York,047,010401,2101,764,54250
36047010402,Census Tract 104.02; Kings County; New York,047,010402,2131,750,31645
36047010601,Census Tract 106.01; Kings County; New York,047,010601,2330,925,43625
36047010602,Census Tract 106.02; Kings County; New York,047,010602,2253,910,63232
36047010801,Census Tract 108.01; Kings County; New York,047,010801,1915,903,68900
36047010802,Census Tract 108.02; Kings County; New York,047,010802,2446,867,59145
36047011000,Census Tract 110; Kings County; New York,047,011000,2429,774,77500
36047011200,Census Tract 112; Kings County; New York,047,011200,6029,2360,52172
36047011400,Census Tract 114; Kings County; New York,047,011400,3860,1250,67955
36047011600,Census Tract 116; Kings County; New York,047,011600,3368,1477,47197
36047011700,Census Tract 117; Kings County; New York,047,011700,3004,1628,118393
36047011800,Census Tract 118; Kings County; New York,047,011800,1806,784,61842
36047011901,Census Tract 119.01; Kings County; New York,047,011901,1431,856,134167
36047011902,Census Tract 119.02; Kings County; New York,047,011902,0,0,0
36047012000,Census Tract 120; Kings County; New York,047,012000,1218,438,69030
36047012100,Census Tract 121; Kings County; New York,047,012100,1953,1183,114552
36047012200,Census Tract 122; Kings County; New York,047,012200,5183,2466,54038
36047012600,Census Tract 126; Kings County; New York,047,012600,2664,1107,58643
36047012700,Census Tract 127; Kings County; New York,047,012700,3828,2012,117627
36047012801,Census Tract 128.01; Kings County; New York,047,012801,2080,825,65313
36047012901,Census Tract 129.01; Kings County; New York,047,012901,2614,1654,232530
36047012902,Census Tract 129.02; Kings County; New York,047,012902,3056,2003,148438
36047013000,Census Tract 130; Kings County; New York,047,013000,4949,2139,80246
36047013100,Census Tract 131; Kings County; New York,047,013100,3581,1925,134479
36047013200,Census Tract 132; Kings County; New York,047,013200,2480,939,93750
36047013300,Census Tract 133; Kings County; New York,047,013300,4517,2589,213227
36047013400,Census Tract 134; Kings County; New York,047,013400,4343,1999,108654
36047013500,Census Tract 135; Kings County; New York,047,013500,3985,2120,210667
36047013600,Census Tract 136; Kings County; New York,047,013600,3973,2104,104191
36047013700,Census Tract 137; Kings County; New York,047,013700,3411,1935,158594
36047013800,Census Tract 138; Kings County; New York,047,013800,3670,1537,93117
36047013900,Census Tract 139; Kings County; New York,047,013900,3412,2102,163125
36047014000,Census Tract 140; Kings County; New York,047,014000,1831,540,55250
36047014101,Census Tract 141.01; Kings County; New York,047,014101,1178,646,142750
36047014102,Census Tract 141.02; Kings County; New York,047,014102,1805,883,127768
36047014200,Census Tract 142; Kings County; New York,047,014200,3496,1731,80476
36047014300,Census Tract 143; Kings County; New York,047,014300,3882,2055,122344
36047014500,Census Tract 145; Kings County; New York,047,014500,4367,2707,112596
36047014700,Census Tract 147; Kings County; New York,047,014700,2404,1243,133194
36047014800,Census Tract 148; Kings County; New York,047,014800,1202,423,71250
