station_complex_id,name,borough,lat,lon,lines,num_lines,total_ridership,avg_ridership_per_hour,pop_density_tract,median_income,commuters_tract,population_500m,bus_stops_250m,bus_stops_500m
157,96 St,Manhattan,40.79164,-73.9647,"C,B",2,45334,34.45,0.0,0,0,0,6,17
44,Church Av,Brooklyn,40.650528,-73.96298,"B,Q",2,45216,44.2,0.0,0,0,0,9,24
303,157 St,Manhattan,40.83404,-73.94489,1,1,45150,34.81,0.0,0,0,0,9,15
337,Nevins St,Brooklyn,40.688248,-73.98049,"2,3,4,5",4,45100,32.33,0.0,0,0,0,10,31
459,40 St-Lowery St,Queens,40.743782,-73.92402,7,1,44818,31.9,0.0,0,0,0,4,20
122,Graham Av,Brooklyn,40.714565,-73.94405,L,1,44573,34.13,0.0,0,0,0,10,29
306,125 St,Manhattan,40.815582,-73.958374,1,1,44263,31.96,0.0,0,0,0,9,20
284,Nassau Av,Brooklyn,40.724636,-73.95128,G,1,43914,37.25,0.0,0,0,0,9,22
501,St George,Staten Island,40.64375,-74.07365,SIR,1,43597,30.57,0.0,0,0,0,2,13
371,Hunts Point Av,Bronx,40.82095,-73.89055,6,1,42582,28.77,0.0,0,0,0,7,20
146,181 St,Manhattan,40.851696,-73.937965,A,1,42000,30.79,0.0,0,0,0,4,30
304,145 St,Manhattan,40.82655,-73.95036,1,1,41898,32.73,0.0,0,0,0,10,28
243,Church Av,Brooklyn,40.64404,-73.979675,"F,G",2,41639,29.53,0.0,0,0,0,10,26
356,Church Av,Brooklyn,40.650845,-73.94958,"2,5",2,41233,29.14,0.0,0,0,0,8,22
42,Prospect Park,Brooklyn,40.661613,-73.96225,"B,Q,S",3,41069,29.31,0.0,0,0,0,11,18
34,53 St,Brooklyn,40.64507,-74.01403,R,1,40912,30.22,0.0,0,0,0,8,28
289,Bedford-Nostrand Avs,Brooklyn,40.68963,-73.95352,G,1,40893,30.31,0.0,0,0,0,10,27
336,Hoyt St,Brooklyn,40.690544,-73.98506,"2,3",2,40771,30.59,0.0,0,0,0,16,34
440,116 St,Manhattan,40.802097,-73.94962,"2,3",2,40040,28.38,0.0,0,0,0,5,25
384,Burnside Av,Bronx,40.853455,-73.907684,4,1,39956,28.16,0.0,0,0,0,4,29
143,Inwood-207 St,Manhattan,40.868073,-73.9199,A,1,39646,27.38,0.0,0,0,0,1,5
394,110 St,Manhattan,40.79502,-73.94425,6,1,39128,28.77,0.0,0,0,0,3,29
340,Grand Army Plaza,Brooklyn,40.675236,-73.97105,"2,3",2,38579,29.09,0.0,0,0,0,8,17
382,Fordham Rd,Bronx,40.862804,-73.90103,4,1,38371,26.67,0.0,0,0,0,2,21
125,Morgan Av,Brooklyn,40.706154,-73.93314,L,1,38056,30.01,0.0,0,0,0,6,17
426,E 180 St,Bronx,40.841892,-73.87349,"2,5",2,37473,26.0,0.0,0,0,0,5,15
621,Broadway Junction,Brooklyn,40.678333,-73.90532,"A,C,J,L,Z",5,36987,25.69,0.0,0,0,0,10,24
28,Union St,Brooklyn,40.677315,-73.98311,R,1,36891,28.05,0.0,0,0,0,5,17
295,231 St,Bronx,40.878857,-73.90483,1,1,36803,26.18,0.0,0,0,0,3,11
129,Halsey St,Queens,40.695602,-73.90408,L,1,36792,27.66,0.0,0,0,0,8,21
334,Clark St,Brooklyn,40.697468,-73.99309,"2,3",2,36789,30.03,0.0,0,0,0,5,13
118,3 Av,Manhattan,40.73285,-73.98612,L,1,36765,29.53,0.0,0,0,0,10,35
155,Cathedral Pkwy,Manhattan,40.800602,-73.95816,110 St,1,36129,26.86,0.0,0,0,0,13,36
355,Winthrop St,Brooklyn,40.65665,-73.9502,"2,5",2,35960,26.62,0.0,0,0,0,5,24
36,Bay Ridge Av,Brooklyn,40.634968,-74.02338,R,1,35913,25.86,0.0,0,0,0,10,27
33,45 St,Brooklyn,40.648937,-74.01001,R,1,35726,26.88,0.0,0,0,0,3,17
213,Fordham Rd,Bronx,40.861298,-73.89775,"B,D",2,35668,25.72,0.0,0,0,0,10,27
177,Clinton-Washington Avs,Brooklyn,40.68326,-73.965836,C,1,35502,28.22,0.0,0,0,0,8,28
321,18 St,Manhattan,40.74104,-73.99787,1,1,35381,27.49,0.0,0,0,0,1,16
47,Newkirk Plaza,Brooklyn,40.635082,-73.96279,"B,Q",2,35182,35.32,0.0,0,0,0,6,21
